Country Name,Country Code,Year,average_value_Age dependency ratio (% of working-age population),"average_value_Age dependency ratio, old (% of working-age population)","average_value_Age dependency ratio, young (% of working-age population)","average_value_Population ages 15-19, female (% of female population)","average_value_Population ages 15-19, male (% of male population)",average_value_Population ages 15-64 (% of total population),"average_value_Population ages 15-64, female","average_value_Population ages 15-64, female (% of female population)","average_value_Population ages 15-64, male","average_value_Population ages 15-64, male (% of male population)","average_value_Population ages 15-64, total","average_value_Population ages 20-24, female (% of female population)","average_value_Population ages 20-24, male (% of male population)","average_value_Population ages 25-29, female (% of female population)","average_value_Population ages 25-29, male (% of male population)","average_value_Population ages 30-34, female (% of female population)","average_value_Population ages 30-34, male (% of male population)","average_value_Population ages 35-39, female (% of female population)","average_value_Population ages 35-39, male (% of male population)","average_value_Population ages 40-44, female (% of female population)","average_value_Population ages 40-44, male (% of male population)","average_value_Population ages 45-49, female (% of female population)","average_value_Population ages 45-49, male (% of male population)","average_value_Population ages 50-54, female (% of female population)","average_value_Population ages 50-54, male (% of male population)","average_value_Population ages 55-59, female (% of female population)","average_value_Population ages 55-59, male (% of male population)","average_value_Population ages 60-64, female (% of female population)","average_value_Population ages 60-64, male (% of male population)",average_value_Population ages 65 and above (% of total population),"average_value_Population ages 65 and above, female","average_value_Population ages 65 and above, female (% of female population)","average_value_Population ages 65 and above, male","average_value_Population ages 65 and above, male (% of male population)","average_value_Population ages 65 and above, total","average_value_Population ages 65-69, female (% of female population)","average_value_Population ages 65-69, male (% of male population)","average_value_Population ages 70-74, female (% of female population)","average_value_Population ages 70-74, male (% of male population)","average_value_Population ages 75-79, female (% of female population)","average_value_Population ages 75-79, male (% of male population)","average_value_Population ages 80 and above, female (% of female population)","average_value_Population ages 80 and above, male (% of male population)",average_value_Population growth (annual %),"average_value_Population, female","average_value_Population, female (% of total population)","average_value_Population, male","average_value_Population, male (% of total population)","average_value_Population, total",average_value_Sex ratio at birth (male births per female births)
Paraguay,PRY,2017,56.11672531,9.74326552,46.37345979,9.837601832,9.950493604,64.05463706,2153334,63.81806995,2245340,64.2833053,4398669,9.716713058,9.815876975,9.105837988,9.180699491,8.146018465,8.230595823,6.640999165,6.753964205,5.162475224,5.245582301,4.50341061,4.498033429,4.10120871,4.060314663,3.557283319,3.530637451,3.04652158,3.017107363,6.241010528,223781,6.63216738,204787,5.862980771,428574,2.355241695,2.285906023,1.686130184,1.551641309,1.221305587,1.039199148,1.369489914,0.98623429,1.307170218,3374176,49.13568518,3492882,50.86431482,6867058,1.05
Sweden,SWE,2012,54.89381996,29.13515229,25.75866767,6.136432976,6.522773876,64.56035181,3022519,63.35994135,3123216,65.76604489,6145741,6.835345576,7.184024783,6.205230584,6.541027594,5.919040899,6.232604879,6.35098114,6.588457853,6.884277614,7.151508379,6.666697336,6.941643137,6.191742907,6.373089189,5.83594008,5.919581975,6.334252238,6.311333227,18.80975964,978512,20.5121846,812067,17.09982662,1790571,5.954443437,5.912881243,4.488803451,4.261245361,3.506691456,2.930257354,6.562246257,3.995442662,0.739763272,4770395,50.11248775,4748979,49.88751225,9519374,1.058
Timor-Leste,TLS,2017,74.40426675,7.603305553,66.8009612,11.51222003,11.59085882,57.33805855,351758,57.21028347,361107,57.46369005,712861,10.01429615,10.08117325,8.225570097,8.221715475,6.327874558,6.354937628,4.35292453,4.314865,4.126040293,4.128998789,4.184916346,4.277468973,3.565741944,3.634098175,2.884763951,2.889360273,2.015935568,1.970213667,4.359593906,29008,4.717891001,25191,4.008694974,54201,1.734078663,1.615030975,1.43205427,1.246322061,0.901681871,0.705750554,0.650076197,0.441591384,1.946906004,614851,49.45473996,628409,50.54526004,1243260,1.05
Samoa,WSM,2017,76.14805464,8.258419368,67.88963527,9.375695939,9.585299967,56.77034277,52912,56.11207143,57997,57.38811213,110905,8.092516199,8.535438992,6.500737033,6.86812915,5.799760332,5.947892857,5.589785465,5.516470251,5.194226752,5.311643463,4.846389599,5.173113268,4.351145848,4.346879607,3.606689502,3.49491891,2.755124765,2.608325665,4.688459806,5115,5.424350722,4042,3.999564619,9159,1.894015716,1.636635299,1.497396524,1.107252056,1.073204874,0.72629402,0.959733608,0.529383244,0.419597536,94297,48.2688193,101061,51.7311807,195358,1.08
Afghanistan,AFG,2012,97.92594721,4.723094409,93.2028528,11.13061925,11.21597953,50.5239467,7627967,50.19553839,8115940,50.83622959,15743958,8.560765029,8.83890471,7.079371677,7.249051887,5.859248943,6.018644432,4.67468702,4.833855876,3.783922934,3.846062299,3.063573043,3.090415872,2.462645356,2.433974737,1.953646707,1.887061558,1.627058434,1.422278685,2.386293853,395096,2.59991377,348538,2.183155345,743602,1.16452442,0.99307392,0.71790854,0.624176552,0.422399784,0.341412027,0.295081027,0.224492846,3.407600033,15196504,48.76711165,15964874,51.23288835,31161378,1.06
Bhutan,BTN,2019,45.84321588,8.886166478,36.9570494,9.627382967,8.945466037,68.56683074,241935,67.56790723,281291,69.44908057,523229,9.856672867,9.934523692,9.977601644,10.68063758,9.430489692,9.869343657,7.641134776,8.184291612,5.970474387,6.591577949,4.872340544,5.096881234,4.186984377,4.253491082,3.279878904,3.224930376,2.724947076,2.667937348,6.092974373,20965,5.855131234,25535,6.304440143,46495,1.914193631,2.04971459,1.543587423,1.742578364,1.140863873,1.257184618,1.256486307,1.254962571,1.146379252,358062,46.9223975,405032,53.0776025,763094,1.04
Costa Rica,CRI,2013,44.96008036,11.73012012,33.22996024,8.477677256,8.821560623,68.98450415,1632101,68.91439521,1639217,69.05429207,3271322,8.892151423,9.201245762,8.73127667,8.964116321,7.888014282,8.016314708,6.922850211,6.905989488,6.454540004,6.299327368,6.667477374,6.48978077,6.200898365,6.029255092,4.906004386,4.726075266,3.773505237,3.600626672,8.091972619,205181,8.66363327,178555,7.521877287,383730,2.977998583,2.805785975,2.138663059,1.933137839,1.573659103,1.342188862,1.973312525,1.440764611,1.147570301,2368302,49.94193514,2373809,50.05806486,4742111,1.05
Early-demographic dividend,EAR,2015,55.01558881,8.354480075,46.23720616,9.323593509,9.643745079,64.68653177,990931390,64.69493347,1028683615,64.67844249,2019614967,8.968141453,9.183095317,8.546376055,8.603539906,7.944728037,7.941563226,6.966691532,6.929416675,6.125824495,6.059810748,5.357106697,5.262407867,4.6155641,4.499314022,3.824541973,3.687082009,3.022365618,2.868467638,5.404223293,90083669,5.881292142,78644633,4.944778348,168728330,2.193557914,1.963622889,1.590863359,1.367883821,1.093482381,0.884959884,1.003388489,0.728311754,1.379077535,1531698598,49.05898966,1590458235,50.94101034,3122156833,1.070763122
"Hong Kong SAR, China",HKG,2015,35.78459352,20.6207732,15.16382032,4.422492307,5.581291955,73.64606103,2935546,75.09551931,2434210,71.9708415,5369755,5.827119387,6.663980695,7.194109781,6.726290047,8.768024079,6.875898491,8.64159077,6.748699814,8.59307838,7.02691692,8.485904672,7.354423514,9.075243263,8.966396749,7.865885692,9.018116212,6.222070983,7.008827108,15.18638474,589725,15.08602968,517557,15.30230086,1107285,4.72270328,5.436303462,2.534091051,3.050128279,2.830746006,3.067858094,4.998489341,3.748011021,0.851197911,3909083,53.61297369,3382217,46.38702631,7291300,1.094
Kazakhstan,KAZ,2019,57.56367063,12.05731456,45.50635606,5.471543522,6.100633417,63.46640612,6022926,63.18481975,5727037,63.76525403,11749963,5.942853577,6.592080184,8.089294086,8.586734704,8.657320172,8.91018799,6.764500128,7.156951179,6.251396352,6.380852188,5.860323541,5.810647713,5.538421851,5.165163403,5.960829484,5.313967471,4.648337035,3.74803578,7.652343941,914174,9.590339871,502572,5.595675171,1416730,3.709370734,2.565059001,1.941617773,1.208088577,1.742657884,0.869868221,2.19669348,0.952659373,1.28960849,9532235,51.48754047,8981438,48.51245953,18513673,1.065
Luxembourg,LUX,2014,44.08825784,20.11624052,23.97201732,5.918823028,6.218179985,69.40196496,189048,68.08127814,197048,70.71802516,386096,6.180765812,6.551952588,6.938051435,7.089157251,7.788191258,7.69873332,7.345236977,7.528066423,7.729299294,8.032145866,7.865870842,8.611117112,7.189877808,7.573073516,6.10453143,6.298112583,5.020630252,5.117486516,13.96100383,43575,15.69235994,34092,12.23508825,77668,4.108708062,4.108967573,3.47173547,2.950665025,2.939901293,2.331367424,5.172015117,2.844088228,2.356978705,277680,49.91379808,278639,50.08620192,556319,1.046
Netherlands,NLD,2015,53.08262731,27.43269417,25.64993314,5.781027588,6.143458727,65.32420021,5482024,64.35188343,5583848,66.3078431,11065869,6.116325169,6.437851372,6.172875305,6.416379675,5.889619816,6.07929303,5.866962194,5.970260037,6.752769542,6.823724373,7.495763436,7.677212461,7.364501846,7.640622693,6.734643445,6.910252462,6.17739509,6.208788266,17.9201888,1656295,19.44276338,1379368,16.37991223,3035666,6.04731921,6.031563632,4.366205864,4.17629261,3.493065653,2.989565681,5.536172658,3.182490306,0.443220089,8518825,50.28844953,8421098,49.71155047,16939923,1.054
Eswatini,SWZ,2011,77.79172727,6.646610356,71.14511691,11.81368897,12.49585707,56.24556334,325380,57.57501225,277625,54.77048184,602969,10.47172299,9.240305551,9.157183782,7.642122126,7.163345077,6.05005445,5.75254671,5.16484904,4.122864913,4.187118259,2.937320067,3.178611449,2.232363251,2.745576932,1.989061137,2.264010985,1.934915357,1.801975979,3.738411038,25723,4.551607475,14372,2.835340351,40077,1.663301725,1.338362715,1.317724249,0.831939206,0.879072656,0.426721485,0.691508845,0.238316946,0.672762228,565141,52.71695075,506888,47.28304925,1072029,1.026
Middle East & North Africa (IDA & IBRD countries),TMN,2019,58.10423975,8.712473553,48.82247131,8.120849654,8.377962979,63.47797925,121624385,63.71675386,122620902,63.24287727,244245344,8.065931167,8.221295402,8.430835521,8.439399202,8.538339129,8.434820806,7.691221323,7.581461882,6.301213075,6.21026922,5.233726127,5.069062937,4.550504095,4.371584026,3.741913052,3.620682245,3.042220713,2.916338577,5.530502182,11192681,5.863637463,10087216,5.202576014,21279811,2.291669967,2.147197483,1.53537329,1.369353465,1.017109464,0.86608838,1.019484742,0.819936686,1.687612028,190882896,49.60938182,193888873,50.39061818,384771769,1.056193827
Bangladesh,BGD,2017,50.09169776,7.72893461,42.36276315,9.727334123,9.904699285,66.625937,52700679,66.86515805,53691198,66.39274982,106391908,9.37828727,9.393139043,9.053954831,8.74010691,8.605381678,8.138722459,7.745203587,7.353210748,6.558358517,6.307877816,5.588994964,5.62274441,4.677991127,4.902605036,3.398504115,3.660155945,2.131147834,2.369488171,5.149475008,4065026,5.157592105,4157936,5.141565376,8222961,1.664669767,1.789340518,1.450460414,1.46261609,1.014944196,0.987658223,1.027517728,0.901950546,1.075535249,78816353,49.35726286,80869068,50.64273714,159685421,1.049
Central Europe and the Baltics,CEB,2013,45.06389079,23.36928104,21.62610104,5.161452154,5.814089391,68.96771421,35796463,66.80781656,35732232,71.27561934,71528987,6.21423163,7.034575154,6.798606953,7.717006126,7.189529687,8.047968645,7.415496319,8.185404819,6.799232269,7.426427736,6.279312873,6.701789848,6.589043172,6.771806195,7.422053862,7.249376666,6.938857636,6.327174757,16.1172586,10255739,19.14053585,6460494,12.88684498,16715810,5.439199001,4.531047547,4.381666117,3.172643862,4.075299687,2.571839162,5.244371041,2.611314408,-0.21320183,53581251,51.66264248,50132475,48.33735752,103713726,1.056930301
Algeria,DZA,2015,52.83779055,8.961853473,43.87593708,7.507060191,7.681092366,65.42884525,12878040,65.49000975,13115546,65.36890576,25993585,9.009842236,9.101499804,9.464390719,9.431336125,9.03614902,8.95949345,7.709682946,7.607088775,6.279795052,6.131482672,5.349456363,5.216580373,4.527350283,4.453184081,3.60068834,3.668814788,3.005594603,3.118333328,5.863636564,1202806,6.11675198,1126700,5.61556081,2329507,2.021767656,2.004187523,1.618149474,1.453496732,1.264388573,1.08468492,1.212446277,1.073191636,2.045372088,19664129,49.49687651,20063891,50.50312349,39728020,1.05
Liechtenstein,LIE,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658778024,,,,,37465,
Lesotho,LSO,2019,59.72593721,7.867825167,51.85811204,10.06448391,10.37794004,62.60725706,665515,61.77488089,665060,63.46331483,1330571,9.366457413,9.796706694,8.773599004,9.26184987,7.76619454,8.613055659,6.510303781,7.513187728,5.052895,5.735230127,4.112044392,4.130182529,3.714856176,3.210381471,3.440565179,2.714553449,2.973481491,2.110227264,4.925825825,67097,6.228122856,37584,3.586451184,104687,2.28158129,1.537391311,1.631636937,1.081164642,1.108117064,0.597073889,1.206787565,0.370821342,0.800269955,1077323,50.69118374,1047944,49.30881626,2125267,1.027
Mozambique,MOZ,2010,95.10826585,5.881057053,89.2272088,10.26830759,10.80048766,51.25359655,6355347,52.17737302,5705428,50.26236218,12060774,8.669575085,9.044819828,7.506292551,7.5460126,6.202660137,6.040941768,5.120837183,4.615412535,4.212269773,3.532293634,3.358668286,2.917227139,2.686951049,2.340570365,2.268413666,1.927709909,1.883397697,1.496886742,3.014252255,435622,3.576454848,273679,2.41099406,709301,1.452151241,1.072186226,1.046454292,0.708721024,0.655715955,0.403998029,0.422133361,0.226088781,2.743656742,12180274,51.76142328,11351293,48.23857672,23531567,1.016
Post-demographic dividend,PST,2018,54.26108209,29.18330425,24.77248135,5.285946607,5.768822069,64.95371375,359362314,63.60503931,361489252,66.35205767,720853198,5.727447913,6.247920444,6.160335087,6.667919656,6.397840122,6.794598915,6.4765217,6.776436006,6.607523492,6.865963035,6.858154442,7.102782398,6.95182315,7.135331802,6.844327799,6.883260416,6.295119,6.109022931,18.95563986,118627776,20.99642625,91743296,16.83966035,210368782,5.766078016,5.378888888,4.920215644,4.379210008,3.843835223,3.114530303,6.466297367,3.967031151,0.344644021,564990315,50.90942136,544804888,49.09057864,1109795203,1.052755422
Somalia,SOM,2013,101.8366085,5.573372181,96.26323636,11.19623014,11.29564804,49.54502556,3258690,49.79730766,3213734,49.29188811,6472419,8.559090378,8.562636018,6.557366027,6.506899058,5.246268743,5.128774596,4.581314407,4.405899994,3.993745022,3.780789082,3.252093397,3.112716749,2.607065992,2.608744467,2.125717538,2.181998444,1.678416017,1.707781662,2.761330805,188891,2.886516742,171848,2.635785161,360732,1.214366094,1.203993434,0.818899043,0.747169815,0.495881055,0.412144355,0.35737055,0.272477558,2.70175342,6543908,50.09225939,6519803,49.90774061,13063711,1.03
Turks and Caicos Islands,TCA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.936106989,,,,,34733,
Turkmenistan,TKM,2017,54.2919658,6.599833319,47.69213248,7.799538969,8.221237889,64.81218869,1900340,65.02261869,1831328,64.59519365,3731670,8.769708166,9.217434122,9.384130408,9.745672439,8.13752766,8.275945263,6.956004329,7.000921313,6.036406836,5.981974432,5.247618288,5.225665271,4.961843684,4.53203503,4.407094683,3.723029018,3.322745667,2.671278876,4.277496423,144434,4.941998226,101853,3.592591966,246284,1.994229077,1.56330465,0.987756379,0.80138719,0.87217369,0.617054027,1.087839079,0.610846098,1.668964884,2922583,50.7598477,2835084,49.2401523,5757667,1.046
Tonga,TON,2013,74.51726858,10.2068114,64.31045718,9.948272132,10.57830142,57.30091974,29534,58.08862577,28780,56.51448208,58314,8.288259937,8.276877761,7.180929528,6.725576829,6.846566882,6.248404516,6.002792912,5.620029455,5.558287277,5.333333333,4.645673937,4.669612175,3.855004622,3.791850761,3.284621285,3.041728031,2.478217257,2.228767796,5.848596808,3284,6.459099581,2667,5.237113402,5952,2.014043231,1.781050565,1.658045355,1.46293569,1.315815353,1.062346588,1.471195641,0.93078056,-0.94668782,50843,49.95971229,50925,50.04028771,101768,1.05
Kosovo,XKX,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.757524968,,,,,1775378,
Benin,BEN,2016,85.53457649,6.003007238,79.53156925,10.53969887,10.86280795,53.89830798,2950020,54.11388382,2909841,53.68146776,5859863,9.044019603,9.245173339,7.592529987,7.660690234,6.345039157,6.315757626,5.306169693,5.206409143,4.416176603,4.273075391,3.673060439,3.516881715,2.998567551,2.805185212,2.36892468,2.158352749,1.829697241,1.637134404,3.23552209,205125,3.762723785,146646,2.705361743,351768,1.449251702,1.110086413,1.105346544,0.802092917,0.678400067,0.468087391,0.529725472,0.325095022,2.761360928,5451503,50.14226359,5420569,49.85773641,10872072,1.041
Brazil,BRA,2020,43.47505641,13.76252132,29.71253508,7.36628459,7.902760685,69.69852622,74983663,69.34993375,73167113,70.05942877,148150775,7.830381123,8.316648519,7.786078132,8.171532548,7.931867731,8.207612136,8.078838384,8.228714099,7.358969815,7.377287534,6.547185164,6.43614555,6.152215983,5.908830118,5.632269491,5.274491024,4.665843338,4.235406556,9.592274616,11613483,10.74093002,8775798,8.403056642,20389282,3.731118858,3.250305501,2.735715689,2.251588423,1.860086527,1.418037915,2.414008942,1.483124802,0.712872791,108123626,50.86748524,104435783,49.13251476,212559409,
Bhutan,BTN,2018,46.57240947,8.798677265,37.7737322,9.847822531,9.21837873,68.22563455,238480,67.25589843,276208,69.08481529,514691,10.12138099,10.20834897,10.13463589,10.6823241,9.231892968,9.68359971,7.379873994,8.013056202,5.782236185,6.358270178,4.823089462,5.025387059,4.062484136,4.112953653,3.254217595,3.184762762,2.618264681,2.597733924,6.003011713,20399,5.752906206,24889,6.225206973,45286,1.889527505,2.057227183,1.539541888,1.735824517,1.113129114,1.22383132,1.210707699,1.208323954,1.17777914,354586,47.00263522,399810,52.99736478,754396,1.04
Guinea,GIN,2011,96.10806622,5.91499485,90.19307137,10.9326502,12.1494588,50.9922967,2880893,52.85141303,2432849,48.95531368,5313631,8.953134411,9.528486597,7.194241569,6.97037748,5.822878999,5.108410655,4.754895909,3.900650565,4.028359203,3.191931631,3.533049137,2.689389137,3.088299261,2.237394683,2.653969626,1.872973903,1.889934725,1.306240228,3.01618775,188874,3.464987344,125447,2.524323226,314301,1.447973364,1.045129016,1.039767717,0.763895177,0.611051804,0.449116919,0.36619446,0.266182114,2.215150305,5450929,52.30987426,4969530,47.69012574,10420459,1.024
Isle of Man,IMN,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.563714673,,,,,84856,
Moldova,MDA,2016,35.50400612,14.11409596,21.38991016,5.317781039,6.030302565,73.79855775,1059143,72.7311749,1008814,74.95312268,2067961,7.219682704,8.117175379,9.63014004,10.77691926,8.681460813,9.779412894,7.43889263,8.080615678,6.606633183,6.868410677,5.90342932,5.865015848,7.384894676,6.953665443,7.309079844,6.537939651,7.239180651,5.943665289,10.41601236,182955,12.56349256,108924,8.092853449,291874,3.927984428,3.113616697,3.018585045,2.033876608,2.635819527,1.492291228,2.981103555,1.453068916,-1.148202158,1456244,51.96842706,1345926,48.03157294,2802170,1.058
New Zealand,NZL,2012,51.50952722,20.59441393,30.91511328,6.849075168,7.558039451,66.00244782,1480518,66.03773253,1428934,65.96586992,2909454,6.963568169,7.571064115,6.609176689,6.774874603,6.187242259,5.978457388,6.731810045,6.319239068,7.158276674,6.704696257,7.31364746,7.047162946,6.890964997,6.760574798,5.933527176,5.865880572,5.400443891,5.385880718,13.59281291,323665,14.4368986,275517,12.71908532,599185,4.377267199,4.337304186,3.343266034,3.182389926,2.531782588,2.29990063,4.184582783,2.899490581,0.548220797,2241928,50.85928895,2166172,49.14071105,4408100,1.056
Other small states,OSS,2017,57.81525441,8.407578596,46.66252773,8.815374691,8.28738328,64.48695395,8729503,61.74743142,10691200,66.91264537,19420431,8.737394357,9.402959621,8.696583481,10.52459594,8.036996369,9.706215723,6.816478824,7.84169316,5.580286362,6.337607922,4.644962232,5.064733906,4.042797481,4.052840968,3.493368085,3.246696513,2.883189539,2.447918342,5.421794304,936424,6.623719035,696308,4.35796026,1632788,2.249823079,1.753501226,1.676894265,1.173548784,1.253597783,0.755448587,1.443403909,0.675461663,2.0514267,14137436,46.94439194,15977847,53.05560806,30148954,1.034062952
Pre-demographic dividend,PRE,2019,86.40075388,5.149426862,80.86907061,10.76426563,10.95017569,53.75809459,255030783,54.01874026,252931058,53.49784644,507961715,9.0608958,9.145464598,7.613982348,7.640456736,6.439993491,6.411996874,5.389030704,5.314855454,4.410221464,4.324538166,3.547293007,3.429242665,2.824361682,2.668885626,2.234495921,2.066172183,1.734200214,1.546058452,2.768233782,14459496,3.062703841,11697626,2.474183299,26157117,1.296126796,1.110444018,0.87669416,0.714509578,0.526731194,0.403534685,0.363151691,0.245695018,2.76433607,472115384,49.96444184,472787364,50.03555816,944902748,1.040445834
Somalia,SOM,2015,99.86687328,5.591945297,94.27492798,11.48559488,11.62344527,50.03330023,3479812,50.32740614,3423387,49.73788497,6903197,8.880548101,8.897353076,6.734590159,6.694183345,5.219190587,5.108417204,4.426867146,4.265889044,3.919458494,3.705482143,3.26113178,3.066910015,2.604526125,2.536897474,2.109511989,2.137034394,1.685986878,1.70227301,2.79783559,201394,2.912696902,184627,2.682418461,386023,1.24206939,1.234937939,0.82184177,0.76718153,0.507119399,0.422644321,0.341666344,0.257654671,2.745377141,6914348,50.11412457,6882856,49.88587543,13797204,1.03
Sub-Saharan Africa,SSF,2014,86.84922399,5.450503039,80.58797775,10.53615288,10.73214685,53.75232027,262688271,54.04503325,258149837,53.45780348,520837596,9.03383304,9.133913916,7.75664144,7.760972315,6.549682404,6.488538908,5.339792903,5.287549055,4.337871569,4.270104791,3.509596301,3.381359751,2.868836258,2.703966204,2.310805708,2.106099029,1.80182074,1.593152663,2.929771776,15868071,3.264669533,12520279,2.592705852,28388269,1.353493103,1.143582288,0.940207816,0.755273818,0.56744382,0.423880295,0.403524795,0.269969451,2.748440412,486054416,50.16257046,482903936,49.83742954,968958352,1.038499771
Sub-Saharan Africa,SSF,2016,85.71582692,5.460845646,79.46063045,10.5595524,10.75994192,54.077007,278687743,54.36057819,274266399,53.79195502,552953754,9.032227476,9.140083597,7.741932445,7.761968542,6.59427867,6.533984565,5.424093283,5.354804913,4.407105168,4.338070489,3.556484859,3.434897633,2.890937497,2.729681406,2.333214707,2.129734064,1.820751684,1.608787887,2.953061901,16876780,3.291969369,13319199,2.612298668,30195951,1.362317846,1.151795007,0.947150023,0.760552682,0.573072621,0.428416593,0.409428879,0.271534385,2.71952543,512665156,50.13691845,509865089,49.86308155,1022530245,1.038577232
Syrian Arab Republic,SYR,2014,60.79084261,6.180699181,54.61014343,10.03567344,10.45430088,62.19259653,5791923,62.40910987,5844758,61.97955958,11636677,9.343808836,9.737216995,9.454330029,9.670250849,8.535184196,8.347311566,6.718216645,6.395813084,5.186145295,4.929577913,4.34462398,4.144181135,3.69211039,3.506056857,2.880145439,2.721455402,2.218871615,2.073394896,3.843937304,380041,4.095016547,339193,3.596903884,719228,1.381412549,1.330044163,1.151028067,0.965404748,0.793022155,0.662418726,0.769553776,0.639036247,-4.533414815,9280573,49.60032251,9430138,50.39967749,18710711,1.05
East Asia & Pacific (IDA & IBRD countries),TEA,2017,42.37994157,12.86041609,29.33071278,6.588745162,7.018733153,70.32787547,704180770,70.19822023,732333446,70.45298267,1436514384,6.907768147,7.260686898,8.280352475,8.467424462,7.94501163,7.980579792,6.866189746,6.854610572,7.513240017,7.495372412,8.157277121,8.025712769,7.189106369,7.021579661,5.661981341,5.489280998,5.088548224,4.839001955,9.044457352,99449579,9.913908116,85291988,8.205381006,184741727,3.890565328,3.548928379,2.442369099,2.112182085,1.700522192,1.362090786,1.880451497,1.182179756,0.73586825,1003131942,49.11063825,1039464077,50.88936175,2042693823,1.102262502
Middle East & North Africa (IDA & IBRD countries),TMN,2012,56.8066823,7.596201529,48.19151655,9.438883114,9.653233296,64.18991232,109028821,64.42573632,109871014,63.95783062,218899432,9.875006279,9.964821539,9.580090042,9.513224162,8.2217388,8.137733102,6.689028463,6.580716875,5.728139799,5.568060181,4.926426319,4.819757559,4.10682672,4.046257984,3.345313136,3.269874017,2.51428365,2.404151908,4.875995183,8783576,5.190263878,7844412,4.566368833,16628042,1.826546398,1.682681988,1.418439838,1.269705191,1.034279726,0.905415531,0.910997917,0.708566124,1.817799139,169231781,49.62540617,171786649,50.37459383,341018430,1.058147915
Belize,BLZ,2020,51.99405206,7.612680283,44.38137177,9.909936956,10.13698353,65.79214743,132847,66.47002902,128758,65.10788275,261603,9.872410687,9.916009729,9.196937856,9.150944827,8.233263284,7.912581348,7.189532673,6.696466947,5.993195237,5.601205496,5.406284399,5.1061635,4.452616832,4.339581616,3.579005304,3.628622428,2.636845792,2.619323325,5.008450109,9823,4.914940458,10090,5.102118213,19915,1.81727209,1.88712638,1.214350045,1.310672984,0.806064245,0.850015928,1.077254078,1.054302921,1.845295592,199860,50.26394481,197761,49.73605519,397621,
Euro area,EMU,2011,51.62316232,28.18180413,23.37598581,5.123602858,5.656242675,65.9814321,110588020,64.39122124,110725326,67.64920736,221314692,5.576085448,6.073826415,6.10094736,6.511772952,6.44715172,6.845294793,6.883700838,7.330588409,7.438208627,7.876097884,7.585139195,7.947756436,6.986887092,7.200085495,6.312205767,6.345550602,5.937292334,5.861991697,18.59475841,35960262,20.93830029,26412205,16.13690934,62370473,5.060445577,4.821973886,4.894508654,4.304492371,4.279298681,3.342933802,6.704047375,3.667509279,-0.217707206,171743939,51.20270566,163675717,48.79729434,335419656,1.05534683
Gibraltar,GIB,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13380713,,,,,33653,
Guyana,GUY,2010,58.31266662,7.309679627,51.00298699,10.99961057,11.03203899,63.16616762,238637,63.21895109,234756,63.11442575,473386,7.690534788,7.375663054,7.930284494,7.779746366,7.029302448,7.018897549,6.799089746,6.832314835,6.298926822,6.558624342,5.622859141,5.609042003,4.665184899,4.88126188,3.628300532,3.301761244,2.554857647,2.72507548,4.617205472,19172,5.078984945,15423,4.146491627,34603,1.63400684,1.456904501,1.617581998,1.45206518,0.689843355,0.511354929,1.137552752,0.726167016,0.228701604,377477,50.36854676,371953,49.63145324,749430,1.05
"Iran, Islamic Rep.",IRN,2011,40.97694709,7.408143933,33.56880315,9.021416002,8.98632193,70.93358277,26431303,71.41117824,26510236,70.46448895,52941250,11.42332321,11.34044752,11.6736823,11.36180463,9.339519151,9.296477216,7.22906758,7.247648073,6.370357398,6.420499088,5.449628193,5.324529541,4.666100034,4.556550532,3.642139077,3.515960636,2.595945293,2.414249786,5.254862008,1883117,5.087740235,2038745,5.419005871,3921964,1.812695417,1.786294776,1.448362361,1.588703582,0.998005098,1.164269788,0.828677359,0.879737725,1.175828678,37012837,49.59182332,37622122,50.40817668,74634959,1.052
Jamaica,JAM,2013,51.13031461,12.67947554,38.45083907,9.465525951,10.00996142,66.16805051,955059,66.4515532,936488,65.88100886,1891553,8.928588823,9.425361101,8.198988886,8.38356253,7.425415349,7.012038124,6.703538622,6.156383048,6.675081024,6.300317133,6.102380558,5.963134302,5.320040133,5.191405601,4.402439143,4.121256377,3.229554712,3.317589224,8.389757345,125926,8.761739629,113911,8.013526709,239839,2.685868472,2.644911937,2.107740884,1.967169521,1.712883012,1.485911906,2.255247261,1.915533344,0.581740676,1437226,50.27533398,1421484,49.72466602,2858710,1.05
Palau,PLW,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.181622162,,,,,17603,
Tuvalu,TUV,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.141730416,,,,,11099,
