Country Name,Country Code,average_value_Population ages 0-14 (% of total population),"average_value_School enrollment, secondary (% gross)","average_value_School enrollment, secondary, female (% gross)","average_value_School enrollment, tertiary (% gross)","average_value_School enrollment, tertiary, female (% gross)",average_value_GDP per capita (current US$),average_value_GDP growth (annual %),"average_value_GDP per capita, PPP (current international $)","average_value_GNI per capita, Atlas method (current US$)",average_value_Gross domestic savings (% of GDP),average_value_Rural population (% of total population),average_value_Rural population growth (annual %),"average_value_Agriculture, forestry, and fishing, value added (% of GDP)",average_value_Forest area (% of land area),average_value_Agricultural land (% of land area),average_value_People using at least basic drinking water services (% of population),average_value_People using at least basic sanitation services (% of population),average_value_People practicing open defecation (% of population),average_value_Total natural resources rents (% of GDP),average_value_Adjusted savings: consumption of fixed capital (% of GNI),average_value_Population growth (annual %),average_value_Population ages 15-64 (% of total population),average_value_Population ages 65 and above (% of total population),average_value_Age dependency ratio (% of working-age population),average_value_Mobile cellular subscriptions (per 100 people),average_value_Fixed broadband subscriptions (per 100 people),average_value_Individuals using the Internet (% of population),average_value_Fixed telephone subscriptions (per 100 people)
Sub-Saharan Africa (excluding high income),SSA,1.5579056759561352,-2.1271951911520786,-2.1988455657293815,-1.6335052539768538,-1.7020063901776192,-0.8734495250164128,0.5696194811570214,-1.0240574647206557,-0.8719159334266151,-0.07022536430788517,0.9412992094140751,1.1184678540427115,0.8336050307770849,-0.20202646201004193,0.32185586586877446,-2.0090669205393605,-1.7527279577897195,1.4838260779228243,1.5149715915230542,-0.08912376119986873,1.2659299160332487,-1.6765511532438069,-0.9428847943589708,1.8008491237383306,-1.4759783776899047,-0.959617852097741,-1.4839506588718383,-1.3211319050621724
East Asia & Pacific (IDA & IBRD countries),TEA,-0.7149371380291853,-0.0793583993982997,-0.044912929531200144,-0.44148019478099015,-0.5005432395548164,0.03237529953958693,1.0159474390516776,0.06231008086142094,0.12959897118625213,1.4192227093555834,0.06699604318232912,-1.3541775628108175,0.24521807731385586,-0.07697960445115928,0.026936454203401967,0.13081916500996593,0.11546349870565356,0.21502372634247907,0.17755381301523768,1.0994598417531494,-0.4780119394961118,1.2583687543061293,-0.06869970396876243,-1.1302166323530245,-0.16643813453486245,-0.17267324395603295,-0.2724018124458875,0.37277634637795604
Turkey,TUR,-0.13283391243763745,-0.028994925282701377,-0.1822400982887701,-0.10707048492526167,-0.0807852527728566,0.3724235955015629,1.2388199244590887,0.8450744941179228,0.532295930879201,0.3811593993382223,-0.6219323543627551,-0.4524462600564778,-0.01712712605655024,-0.1796223341423844,0.7548256041490125,0.5000016951171761,0.6493043527429687,-0.7141112558691931,-0.8610598000761668,0.5848010687200915,0.09566948096768471,0.38874399527346676,-0.16300821522699782,-0.4542620043407275,-0.4966772582683889,-0.231702786998588,-0.26818726888350897,0.6560310542548504
Vietnam,VNM,-0.5082046452713009,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-0.7917294149701553,1.0319723923074569,-0.5533977656717701,-0.8036820726922688,0.29240655063902066,1.1666011241460632,-0.1973947259855225,1.0108095363011855,0.550964843105881,-0.0759942262831236,0.5065086886549929,0.38266268755158517,0.080956579619318,0.39407994249115613,0.3763471554668126,-0.2523279455867364,0.9944226912066775,-0.15151737996373144,-0.9503885432842077,1.3601096241155053,0.05688360172103882,0.8871745584224239,-0.5977131355581937
Dominican Republic,DOM,-0.051624487655917546,-0.1585543317020556,0.024997650735659543,-0.10707048492526167,-0.0807852527728566,0.10276823530318237,-2.3369713569272297,0.4382554859123461,0.21109590352180796,-0.2530606820879812,-0.8634512547646174,-2.3241018215405864,-0.1881422554649675,0.5095429433262062,0.7650226337277708,0.5757219630111272,0.4083570831727501,-0.04461259726808785,-0.9790469736935931,-1.4679105417432936,-0.20746652725613104,0.2411178387008656,-0.1472681424738441,-0.32485400568637196,-0.5591644169897471,-0.3197386933797012,1.1161878903047093,0.09781428317962826
"Hong Kong SAR, China",HKG,-1.5313737416082576,0.7953753035096469,0.7404345752312644,1.471088236347696,1.2495078742892587,1.3885621828681334,-0.10189168662849946,1.505355025139483,1.5947736179329886,0.16238274920699838,-1.8065585805459108,0.013503195462942173,-2.167994801703334,-0.06636131168425809,-1.7143431283393311,0.782857520680719,0.7702737577702211,-0.9456557672419434,-1.2764664331084792,1.8020151197268095,-0.5026967888165452,1.7763464994595657,1.1900870888485269,-1.518469071050261,2.3081996402321923,1.4573753549071284,1.2726426922456098,1.4706044508472063
IDA total,IDA,1.1991175781243903,-1.8437380473409344,-1.8921807123164236,-0.10707048492526167,-0.0807852527728566,-1.1183478937333717,0.42095087274148185,-1.0149074077500693,-1.1225645325701112,-0.3707711760934795,1.009113002430305,0.8331384780753617,1.2176386818972462,-0.2565471165098218,0.1890957862822985,-1.2573819883126076,-1.369385775653138,1.3132910088424383,0.9716266215259618,-0.6709826653028195,0.8250799419481596,-1.1760685291079354,-0.8457313794909396,1.216609483122386,-1.157697671397368,-0.9467256761451184,-1.4230174155975408,-1.1922501472866749
New Caledonia,NCL,-0.40565636077706213,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-0.01795427249329572,0.06321024123098566,0.07949188514992273,-0.057599375675599127,-0.0011610164429851956,-0.497806863739025,-1.0917228161318058,0.02220337330151988,0.6119362925613069,-1.4485133554264116,0.6565612944485436,0.8957120419671921,-0.9456557672419434,-0.16436445823424067,-0.08899149956015054,0.3143740858774907,0.6773769555022802,0.011862295787524131,-0.6974134941911503,-0.3345905457025998,0.6799628823991128,0.8930256912137793,0.9807699392161117
Colombia,COL,-0.26888696159189357,0.5421521858775894,0.7191862060175331,0.4262498388091096,0.313956671054598,0.10933943010813629,1.0995052962382144,0.03768191306110855,0.10197151929245767,0.045904653411046895,-0.9161638877909302,-0.6179738310660682,-0.10583622620888136,0.9807875548484406,0.21772638961757165,0.5218184126388018,0.42429621029503567,0.3098742599620236,0.7896679412023168,-0.09062685910211908,-0.32727362422180867,0.6151676231607094,-0.16641849287174237,-0.6460611423404509,0.1874999505133545,-0.23587346732102285,0.18891047684067222,0.34624173021768573
Comoros,COM,1.0869182138691231,0.22099792586531236,0.22931611446608857,-0.10707048492526167,-0.0807852527728566,-1.1623965438769495,-0.3667286028380661,-1.3000926219218727,-1.080520007199681,-1.7193436694563247,1.3560673994476518,1.3880763234361366,1.5661437403651908,-0.550707085239498,1.9313194233383677,0.45844234869137607,0.42429621029503567,-0.48197895543159086,-0.16436445823424067,-0.08899149956015054,0.7596843675547098,-0.9350042002725434,-0.9082381293215852,0.8488506396910422,-1.4291521537794123,-0.9717332349156375,-0.03502146831309645,-1.5304580819498692
